citing_doc,cited_doc,cite_year
107,67,2020
107,739,2020
107,740,2020
107,350,2020
107,351,2020
92,67,2008
92,277,2008
197,67,2020
197,710,2020
197,760,2020
281,405,2020
281,403,2020
281,404,2020
1,643,2012
1,277,2012
1,117,2012
1,610,2012
1,468,2012
1,227,2012
1,583,2012
77,643,2013
77,277,2013
77,227,2013
2,610,2013
45,786,2008
45,787,2008
35,277,2016
35,456,2016
35,457,2016
100,226,2007
31,219,2013
31,629,2013
31,47,2013
31,634,2013
31,638,2013
31,26,2013
312,424,2019
312,626,2019
312,68,2019
312,692,2019
312,422,2019
312,423,2019
16,461,2007
16,779,2007
169,71,2007
169,117,2007
169,663,2007
169,144,2007
169,336,2007
169,706,2007
169,756,2007
169,446,2007
169,355,2007
169,215,2007
169,447,2007
169,448,2007
169,449,2007
169,87,2007
169,450,2007
169,451,2007
169,218,2007
169,277,2007
112,71,2013
112,355,2013
112,611,2013
203,606,2008
81,71,2017
81,219,2017
81,215,2017
81,611,2017
81,689,2017
95,167,2009
9,277,2006
288,219,2011
288,381,2011
288,369,2011
60,636,2016
271,278,2019
271,504,2019
180,643,2014
180,347,2014
180,348,2014
233,467,2013
233,117,2013
233,610,2013
233,468,2013
64,263,2015
64,52,2015
93,609,2013
21,277,2010
21,417,2010
21,30,2010
21,459,2010
259,117,2011
259,219,2011
259,366,2011
259,277,2011
259,698,2011
259,727,2011
259,728,2011
259,380,2011
259,479,2011
259,146,2011
19,742,2020
19,582,2020
19,716,2020
19,767,2020
19,776,2020
19,364,2020
58,478,2020
103,30,2012
103,520,2012
103,230,2012
268,367,2014
116,238,2006
303,277,2008
303,676,2008
303,705,2008
303,749,2008
303,439,2008
303,440,2008
303,349,2008
303,441,2008
303,442,2008
303,443,2008
303,72,2008
76,277,2016
76,620,2016
76,369,2016
76,494,2016
76,496,2016
76,497,2016
40,277,2006
40,219,2006
40,355,2006
40,221,2006
40,227,2006
40,646,2006
40,354,2006
40,356,2006
40,228,2006
308,277,2015
308,340,2015
308,686,2015
308,400,2015
308,401,2015
308,402,2015
211,277,2007
211,117,2007
211,711,2007
211,167,2007
211,764,2007
211,730,2007
211,712,2007
211,480,2007
211,481,2007
211,222,2007
211,482,2007
211,483,2007
219,277,2004
219,167,2004
219,381,2004
219,382,2004
219,225,2004
219,380,2004
219,741,2004
219,379,2004
219,315,2004
219,383,2004
219,384,2004
255,277,2010
255,436,2010
183,277,2019
183,469,2019
183,470,2019
183,472,2019
235,277,2018
38,219,2019
26,244,2003
26,68,2003
26,659,2003
26,660,2003
26,591,2003
192,214,2018
192,219,2018
192,474,2018
192,475,2018
176,242,2019
131,117,2013
135,219,2019
135,419,2019
