citing_author,cited_author,cite_year
226,641,2018
567,180,2018
226,180,2018
567,255,2018
226,255,2018
567,161,2018
226,161,2018
567,446,2018
226,446,2018
567,68,2018
226,68,2018
567,377,2018
226,377,2018
273,343,2019
296,343,2019
273,161,2019
296,161,2019
273,308,2019
296,308,2019
624,343,2017
151,343,2017
458,343,2017
624,491,2017
151,491,2017
458,491,2017
624,628,2017
151,628,2017
458,628,2017
624,744,2017
151,744,2017
458,744,2017
404,343,2019
5,343,2019
652,343,2019
415,343,2019
404,161,2019
5,161,2019
652,161,2019
415,161,2019
404,678,2019
5,678,2019
652,678,2019
415,678,2019
404,535,2019
5,535,2019
652,535,2019
415,535,2019
404,381,2019
5,381,2019
652,381,2019
415,381,2019
404,454,2019
5,454,2019
652,454,2019
415,454,2019
404,707,2019
5,707,2019
652,707,2019
415,707,2019
404,364,2019
5,364,2019
652,364,2019
415,364,2019
404,588,2019
5,588,2019
652,588,2019
415,588,2019
555,343,2018
328,343,2018
211,343,2018
277,343,2018
662,343,2018
617,343,2018
555,161,2018
328,161,2018
211,161,2018
277,161,2018
662,161,2018
617,161,2018
555,105,2018
328,105,2018
211,105,2018
277,105,2018
662,105,2018
617,105,2018
555,81,2018
328,81,2018
211,81,2018
277,81,2018
662,81,2018
617,81,2018
555,328,2018
328,328,2018
211,328,2018
277,328,2018
662,328,2018
617,328,2018
555,535,2018
328,535,2018
211,535,2018
277,535,2018
662,535,2018
617,535,2018
8,343,2014
417,343,2014
143,343,2014
8,678,2014
417,678,2014
143,678,2014
8,744,2014
417,744,2014
143,744,2014
8,55,2014
417,55,2014
143,55,2014
8,294,2014
417,294,2014
143,294,2014
8,613,2014
417,613,2014
143,613,2014
8,254,2014
417,254,2014
143,254,2014
406,590,2017
406,613,2017
678,343,2011
678,161,2011
678,641,2011
678,10,2011
678,250,2011
678,231,2011
678,337,2011
678,678,2011
678,707,2011
678,122,2011
678,744,2011
678,291,2011
678,750,2011
678,590,2011
678,208,2011
678,424,2011
678,153,2011
395,343,2010
678,343,2010
395,678,2010
678,678,2010
395,682,2010
678,682,2010
395,195,2010
678,195,2010
395,95,2010
678,95,2010
395,424,2010
678,424,2010
395,79,2010
678,79,2010
395,590,2010
678,590,2010
395,560,2010
678,560,2010
161,343,2010
161,161,2010
161,122,2010
161,425,2010
161,447,2010
161,68,2010
78,343,2011
125,343,2011
297,343,2011
130,343,2011
644,343,2011
78,161,2011
125,161,2011
297,161,2011
130,161,2011
644,161,2011
78,641,2011
125,641,2011
297,641,2011
130,641,2011
644,641,2011
78,678,2011
125,678,2011
297,678,2011
130,678,2011
644,678,2011
78,122,2011
125,122,2011
297,122,2011
130,122,2011
644,122,2011
78,682,2011
125,682,2011
297,682,2011
130,682,2011
644,682,2011
78,446,2011
125,446,2011
297,446,2011
130,446,2011
644,446,2011
78,291,2011
125,291,2011
297,291,2011
130,291,2011
644,291,2011
78,750,2011
125,750,2011
297,750,2011
130,750,2011
644,750,2011
78,707,2011
125,707,2011
297,707,2011
130,707,2011
644,707,2011
78,657,2011
125,657,2011
297,657,2011
130,657,2011
644,657,2011
78,616,2011
125,616,2011
297,616,2011
130,616,2011
644,616,2011
603,343,2006
711,343,2006
603,666,2006
711,666,2006
603,327,2006
711,327,2006
603,585,2006
711,585,2006
603,122,2006
711,122,2006
603,678,2006
711,678,2006
603,291,2006
711,291,2006
603,752,2006
711,752,2006
603,613,2006
711,613,2006
603,337,2006
711,337,2006
603,707,2006
711,707,2006
280,343,2007
699,343,2007
682,343,2007
280,545,2007
699,545,2007
682,545,2007
280,593,2007
699,593,2007
682,593,2007
280,682,2007
699,682,2007
682,682,2007
280,699,2007
699,699,2007
682,699,2007
280,122,2007
699,122,2007
682,122,2007
280,285,2007
699,285,2007
682,285,2007
280,532,2007
699,532,2007
682,532,2007
280,398,2007
699,398,2007
682,398,2007
280,697,2007
699,697,2007
682,697,2007
126,343,2012
110,343,2012
442,343,2012
396,343,2012
126,161,2012
110,161,2012
442,161,2012
396,161,2012
126,70,2012
110,70,2012
442,70,2012
396,70,2012
126,590,2012
110,590,2012
442,590,2012
396,590,2012
126,744,2012
110,744,2012
442,744,2012
396,744,2012
126,266,2012
110,266,2012
442,266,2012
396,266,2012
126,122,2012
110,122,2012
442,122,2012
396,122,2012
714,343,2013
714,161,2013
714,641,2013
714,678,2013
714,744,2013
714,707,2013
714,364,2013
714,588,2013
714,635,2013
221,343,2018
468,343,2018
718,343,2018
